"CF_PR","UP_CF1","UP_CF2","UP_CF3","UP_CF4","UP_CF5","DW_CF1","DW_CF2","DW_CF3","DW_CF4","DW_CF5","WT1","CTR_IF1","CTR_TH1","CTR_IF2","CTR_TH2","CTR_IF3","CTR_TH3","CTR_IF4","CTR_TH4","CRT_IF5","CTR_TH5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","GAF_Q1","Regret","Guilt","Shame","Comments","Gender","Age","Race","Ethnicity","Origin","Education","Marital","Live","Spirituality","Upward_Participants","Downward_Participants","Control_Participants","UP_Coun_Num","DOWN_Coun_Num","Participants","Count_Num","CF_1","CF_2","CF_3","CF_4","CF_5","CF_1_Tot","CF_2_Tot","CF_3_Tot","CF_4_Tot","CF_5_Tot","CF_Tot","CF_Tot_All","Postitive_Affect","Negative_Affect"
"I didnt get to eat breakfast because it was a break time for the pit. I ended up waiting for lunch.","If I woke up earlier than I could have made it to breakfast","","","","","","","","","","I wake up and immediately take a shower. I then go to a pit breakfast if I have the time. After that I walk to class. I will than go back to my room and play guitar until I work up an appetite. After eating again, I either go to work or the gym depending on the day then eat after that as well. I hang with friends throughout the day. I find some time to get some work done and study. To top the day off, I will lay in bed and watch TV.",8,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Not bad. It was not too big of a deal",3,1,1,"no","male","19","white",2,"United States",1,2,2,3,1,0,0,1,0,"1",1,32,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,30,30
"I lost everything. My friends, my family and even myself.","","","","","","","","","","","I wake up, take a shower, eat, go to class, eat, workout, spend time with my good friends and then I go to sleep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,1,5,2,2,4,5,5,4,5,1,5,3,5,4,4,4,1,"",2,5,1,"","Male","19","",1,"",1,2,1,4,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,26
" I recently get a unideal grade  because of my laziness","","","","","","","","","",""," I brush my teeth and go to lunch with my friends. Then I maybe browsing through my phone. And at the afternoon, I will go to ZSR to study. At night I will watch movies in my dorm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,2,2,2,2,1,2,2,2,3,3,2,3,2,2,3,2,2,"I feel it is negative and I am anxious",3,5,2,"NO.","Female","19","Asian",2,"China",1,2,1,3,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,25
"An angry New Yorker came out of his car and tried to fight me then I pulled a hammer out and he backed off. I proceeded to follow him for 2 miles in traffic eventually stopping once I got to where my orginal location was.","","","","","","If said New Yorker was angry and continued to come to my car then we would have fought.","If I hadn't honked at him for not recognizing he was blocking a right turn lane, called him fat and told him to go back to NY then we might not have had a problem at all.","If I didn't show the hammer he would have approached and I would have brained him for being so stupid to approach somebodys car in florida.","If I spoke respectfully he would have trampled all over me as adults try to do then I would be in danger.","","I wake up and I will probaly smoke some pot. I then shower, oftentimes listening to music as I do. I try to knock any work I might have left over from the night before and go eat breakfast. I usually get chic-fil-a or the dining hall. On most days, I will go to class then eat lunch sometime between 12-3. Sometimes I don't eat lunch when I take Vyvanse or other study drugs to work.",3,4,2,9,9,3,9,9,3,3,2,4,3,3,3,2,2,2,3,1,3,4,2,5,1,4,3,4,3,3,"",4,4,4,"","male","19","caucasian",2,"United States of America",1,2,1,3,0,1,0,0,4,"2",4,12,18,27,81,9,3,4.5,6.75,20.25,2.25,207,41.4,31,26
"One time I felt excluded from plans with my friends. It was a Saturday night and my friends were all going out to dinner. While I was getting ready, they all left to go dinner. I felt really bad about myself in the moment, but as a little time passed, I realized it was a simple mistake that had no true effects on the relationship I had with my friends.","If I had gotten ready earlier, I wouldn't have been left.","If I was a bit more vocal, I wouldn't have been left.","","","","","","","","","On a typical weekday I wake up at about 8am. I usually go to the bathroom, brush my teeth, wash my face, and get dressed and ready for the day. Next, I pack up my things and head to class. After going to class, I usually get lunch with some friends. After that, I spend the early afternoon in the library or my dorm room getting homework and studying done for the next day. Next, I usually go out and exercise (run by myself, basketball with friends, club baseball practice.) After that, I usually get dinner with some people and then hang around and relax and get any work I didn't complete earlier done. Finally, I take a shower, and brush my teeth, and wash my face and get ready to go to sleep.",9,5,6,5,NA,NA,NA,NA,NA,NA,4,2,4,1,4,1,2,1,4,4,2,4,1,4,3,5,4,3,4,2,"Not bad at all.",4,1,1,"","Male","19","White",2,"USA",1,2,1,2,1,0,0,2,0,"1",2,45,30,NA,NA,NA,22.5,15,NA,NA,NA,NA,NA,41,18
"There was a time when I was cheated on by my girlfriend. It was an extremely unpleasant experience and feeling. The outcome was a little break between us so I could figure some things out. I ended up realizing that relationships are never perfect, and that I still loved her very much. She made it very clear she wanted this relationship to continue. Maybe I am a fool for taking her back, but we are now strong after a year and a half and I couldn't be happier.","","","","","","","","","","","I wake up around 9:15 am everyday. I then take a shower change and brush my teeth and hair. After that I do a little bit of work before my 11am class. After the 11am I continue to go to class until about 3:15. After that I eat some food, either go to the gym, or spend some time with my girlfriend. Around 5pm I start doing my work for the night until about 9pm sometimes earlier sometimes later. I get dinner around 7pm. Lastly at about 10pm I watch some TV and fall asleep around midnight.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,1,1,4,2,1,2,2,4,2,2,4,3,4,5,2,4,"I feel positive about it. Of course my guard is up for sure but I think I made the right decision and I am happy with myself",4,1,2,"nope","Male","20","White",2,"United States of America",2,2,2,4,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,29
"So I watched Everything Everywhere All At Once, which was an incredible movie. I am the eldest daughter of a poor immigrant family, and so all of the issues touched on in the movie hit me very deeply. For some context, in the movie, the immigrant mother who is dissatisfied with her life, her marriage, her children, is able to jump universes and she experience every single one of them, including ones where she pursued her teenage dreams and talent and became famous, rich, etc. And at the end of the movie, spoiler alert, she and her daughter are having a fight and it is really emotional. And her daughter asks her why she chooses to be in this universe with her disappointment of a daughter if she could be anyone else, do anything else, etc. And the immigrant mother replied ""no matter what, I still want to be
here with you. I will always want
to be here with you."" And that was SOOO good. I sobbed because all of my life, that is all I wanted to hear. I have lived with an internal anxiety that my parents wished that their life had turned out differently. I know that they were once full of dreams, because I used to hear about those dreams all the time as a child. My mom was such a good singer, and she did really cool things with that. My dad loved boats, music, all sorts of things. But at some point, those dreams all died as the reality of the American Dream or lack thereof settled in. And it's been 25+ years of staticness. We are just a poor, immigrant family struggling to get year to year. My mom barely has friends here because she can barely speak english, and it is just so depressing. And so my entire life, I've worked so hard, studied so hard, etc. etc. at WFU on scholarship trying to become a doctor, and make a lot of money so that they don't ever feel like their sacrifices to come to America were not worth it. I want them to feel like they made a good decision coming here to the U.S. to a place that has only caused them struggle. And a lot of times, I think to mysel","","","","","","if I pried some more, then she could have said something even worse","If my mother thought about what she said before she said it, then maybe she would have been more careful to how her words would have affected me. But then, she would not have been honest. and if she wasn't honest with me, then there is no one else she could have been honest with. she only has me in this world. and if she were to lie to me and give me an answer that would make me happy, then she would probably bottle it up and feel even more depressed herself. and i would rather die than to add onto her pain.","if i phrased the question differently to be more explicit, her response could have been way worse and I would actually die. i.e. if i were to ask ""do you wish you were still in vietnam where you had family and people did not make fun of you for your english? do you think that your life would have been happier if you did not marry my dad and then had me and [siblings]? Mom, are you depressed?""","","","I wake up early some days, not so much other days. It depends on if I procrastinated my Japanese homework the night before. When I wake up, I go take a shower in the dark. I have a tiny blue light in the bathroom that engulfs it with a dark blue neon hue. And I play my bluetooth speaker --usually 80s soft rock OR good, neo-soul while I shower for 30+ minutes. I'll dry my hair . And then do my makeup for 30+ minutes. I go for a douyin look in the cold months and an ABG look in the summer months. I'll spend a long time picking out an outfit, and get really anxious when I feel like my body is too ugly to be wearing whatever. I'll settle on something and have too little time to do my homework. I'll do it in class. I hop on the shuttle from DP and go to my classes. I will try to pay attention, and some classes are easier than others to do that. I'll eat lunch at Shorties or in Benson with friends. Dinner with friends too. I am very social, so I will talk to a lot of people throughout the day and catch up with them briefly in between classes. After classes, I attend a range from 2-4 meetings. I am the president of two Asian organizations on campus including the largest, oldest one and so I am drowning in meetings all of the time. When those are over, I will walk back to DP and make me some food. And then I will shower again, take off my makeup, and lay in bed watching tiktok videos until I go to sleep. And read some manga, watch a k-drama, etc. And tell myself I will wake up early in the morning to do homework that I don't feel like doing that night.",9,5,2,6,9,5,3,3,3,3,5,5,5,5,4,5,5,5,4,4,5,3,4,2,5,4,4,4,3,5,"Horrendous. I feel absolutely horrible rethinking about it. But it's my fault for choosing that one to write about, so it's my responsibiity to handle it.",7,7,2,"N/A","Female","21","Asian",2,"America",3,2,2,2,0,1,0,0,3,"2",3,45,12,45,9,9,15,4,15,3,3,81,16.2,38,48
"I spent an entire Sunday looking for my uncle with my dad when we found his decomposing body that had been laying there for almost a full week straight.","If we had called earlier or checked up on him earlier, he wouldn't have been there for as long","If we had checked up on him and tried to gain some more insight as to what he was going through maybe he would be alive.","","","","","","","","","I wake up, take a shower, brush my teeth, use mouth wash, get dressed, go to class, get food, sleep/watch a show or movie, go to class again, do schoolwork or watch TV, Sleep.",9,4,4,4,1,1,1,1,1,1,3,4,3,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,"not much",1,1,1,"no","Male","19","Black, white",2,"America",1,2,2,3,1,0,0,2,0,"1",2,36,16,1,1,1,18,8,0.5,0.5,0.5,5,1,18,13
"I got into a fight with my mom because I did not do the things that she asked of me.","","","","","","If I did what I was supposed to do, she would not be upset.","If I did not yell back at her, that would have made the situation less messy.","","","","I wake up around 7:30 to get ready for my eight am writing class. I attend writing at eight and biology at nine. After this I usually go to get breakfast and prepare for my shift at the hospital. I get to the hospital, order a coffee and do some schoolwork and then I volunteer from 12 to 4. After that, I take the shuttle back to school, go to the gym, do some schoolwork, get dinner with friends and then attend chapter. After chapter I do some more schoolwork, shower, and head to bed.",9,9,9,9,NA,NA,NA,NA,NA,NA,5,3,4,1,4,2,3,1,4,4,2,4,1,4,3,4,3,3,4,1,"",4,4,4,"","Female","19","Caucasian",2,"United States",1,2,2,4,0,1,0,0,2,"2",2,81,81,NA,NA,NA,40.5,40.5,NA,NA,NA,NA,NA,40,20
"Recently, there was a spill on my new laptop that fried it entirely. It was really upsetting, and even after I tried my best to frantically Google how to dry it, it was unsalvageable. I had to go to The Bridge to ship it off to an Apple Store, and I hate using loaners because I (obviously) feel more comfortable with my own computer. It's especially added stress to financials and upcoming finals. The outcome is pending, but I still have to pay around $300.","","","","","","","","","","","I usually wake up pretty late, around 1 pm if I can. I like to lay in bed with my partner for a bit and figure out what I'm going to do for the day. Brushing my teeth/getting dressed is part of my routine before going to Camino, where I get an iced coffee with a pastry. If I have to wake up for my morning class, I'll usually wake up around 9:30 and potentially get coffee before going to Chinese class. I always go back to sleep after this, and when I wake up it's around 1 pm again. On every day but Thursday, I have a 2:00-3:15pm class, and I eat after that with my partner or with a friend. Ideally, I'll try to get work done after this for as long as I can, and usually have leisure time after by scrolling on social media or watching a movie. If I do go to the gym, it's usually around 8:00pm, but I prefer to go around 5pm just because my pre-workout has caffeine. I'm always at home by 10pm and that's usually when I stop working. On all weekdays except Wednesday night, I sleep in my own room, but since my roommate has been sick recently, I've had to sleep with my partner and it throws my schedule off if I have to work during that day. Generally, I think I'm really unhappy with my schedule, and it feels frantic and like I sleep too much. I tend to sleep around 3am, whether or not I get into bed earlier than that.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,1,5,2,1,2,1,4,1,3,1,2,1,2,3,1,NA,"It'll be fine, but I'd rather it had not happened. I was incredibly upset about it when it happened. There's a lot to deal with in the next two weeks and that's added stress, plus I'd prefer to be in my element when doing work.",4,7,4,"I'm a bit confused if the last part is supposed to be about the negative experience or not","Female","18","White/East Asian",2,"USA, China",1,2,2,1,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA
"I recently stopped talking to a good friend I made at wake in the first semester. With rushing frats, it was hard to keep in touch with him. And eventually, we had no contact with each other.","","","","","","If I brought it up to him in an aggressive way, we likely would have had a worse relationship.","If I calmly talked to him, then we may have been able to salvage the relationship.","","","","I wake up at 10:30 am most days and go to my first class. I have 4 classes on Monday, Wednesday, and Friday. On Tuesday I have 2 classes, and on Thursday I do not have class. After classes are done, I complete my assignments in a study lounge, exercise, and relax for a little. Then I eat dinner around 7:30. Finally after I shower I dedicate the rest of my time to studying, again in a lounge.",9,4,4,5,NA,NA,NA,NA,NA,NA,3,4,1,2,3,1,1,2,2,2,2,2,2,2,3,2,3,3,3,3,"I feel like it is out of my control at this point, so no point of thinking about it.",2,2,1,"no.","male","19","White",2,"United Sates of America",1,2,1,4,0,1,0,0,2,"2",2,36,20,NA,NA,NA,18,10,NA,NA,NA,NA,NA,23,23
"I failed a test so I studied harder.
","if i had studied harder for the test, then i would have passed","","","","","","","","","","I usually wake up late then stay in bed and go on my phone untill I have to get up for class. Then I get ready and if I have time I get coffee at Camino and if not then I buy some from the vending machine. Then I go to my classes for the day and then come back and get back into bed because I am tired. After that I get up and do any HW that have to get done. After that I chill with some friends and usually get dinner somewhere. After dinner I continue to chill with friends and then I decide that I am tired and get ready for bed and then go to sleep.
",9,9,9,9,NA,NA,NA,NA,NA,NA,2,3,3,2,1,1,1,1,1,1,3,1,1,1,2,1,1,4,1,1,"not sure",3,3,3,"no","female","19","white",2,"USA",1,2,2,3,1,0,0,1,0,"1",1,81,81,NA,NA,NA,81,81,NA,NA,NA,NA,NA,13,19
"My father and I recently got into an argument, well not so much recently a couple of months ago but I and him haven't talked ever since. Maybe once or twice but it was really bad. I realized that my father did not want to take care of me, especially in college. He said he didn't owe me anything and that it is up to me to take care of myself even though I had just recently moved out and trying to figure things out. My father divorced my mother and left me and my brother in a tough place. My mother lost her job the same day and it was very hard for us to fend for ourselves. He makes 6 figures and has started another family. We visit him every now and then, well my brother does since I have moved out but it is hard. My dad does the absolute bare minimum and seems to forget that we're his own blood. I feel as if my father owes me some things especially since I have made it this far barely without his help. He can be very spiteful and just doesn't seem to genuinely care about me at all. It was tremendously hard for him to say the things he did and try to belittle me the way that he did. To this day he still doesn't see what he did wrong and probably expects me to apologize. Oh, also this argument started because I asked him to help split or give a little bit of money for my tuition which was about $7,000 and even just a little bit of money would've helped us. He flat-out told me no when he is sitting on top of a lot of money and not even doing anything with it. I expected him to maybe even give just a little bit but he hasn't. he hasn't checked up on me at all to see if I am ok or was even able to go back to college. I just realized that my dad doesn't care about me.","","","","","","","","","","","Typically, I would go to class and then maybe grab something when I get back to my dorm afterward. Maybe like yogurt or some oatmeal. Some mornings or afternoons I have to work for the men's soccer team because I work in sports medicine and that is the team that I am with currently. Some days, like Monday, Wednesday, and Friday, I have a gap in between my 9-9:50 and my next class isn't until 12. So during that time, I might exercise, might take another nap or I might do some work or chores I need to do. After that, I typically have 2-3 classes until around 3:15 being the latest. I would usually go get something to eat from like Chick-Fil-A because I probably haven't eaten and then I go back to my dorm and relax for a little while. I might exercise after awhile or just spend the rest of the day watching some shows and/or doing a little bit of homework.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,3,2,1,3,1,2,2,3,4,2,2,4,1,2,1,2,1,"I feel like it is fine. I have taken some time to evaluate me and my father relationship and have just accepted it. I cannot change my father, he has to want to change himself so I just try to continue on with my life.",2,2,1,"No","Female","18","African American",2,"United States",1,2,2,5,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,21
"A negative experience I have had lately was getting a C on my biochemistry exam. I was upset about this because I felt frustrated that the professor was not a very effective instructor and that I had not studied enough. For the next exam, I studied much more and found my own resources outside of class and I was able to get an A on that exam.","","","","","","If I had studied even less, then I would have gotten a D or F on the test","If the professor had been less effective, I would have gotten a D or F on the test","If I had not studied more for the next exam, I would have gotten another C","","","When I wake up, I put my contacts in, brush my teeth, and get dressed for the day. I then eat breakfast, and during the week, I head to a morning class. The rest of the day is typically full of some combination of classes, group project meetings, club meetings, volunteering, studying, doing homework, exercising, meals with friends, and running errands. I am very busy, and typically, leave my dorm room around 7:30-8 am, and do not return until 9 or 10. When I get back, I typically eat a snack, take a shower, brush my teeth, put pajamas on, and go to bed. Once in bed, I usually scroll on Instagram or TikTok until I fall asleep.",6,8,7,9,9,9,NA,NA,NA,NA,5,1,4,1,4,1,1,1,5,5,1,4,1,3,1,5,4,1,3,1,"Neutral, it is what it is",5,5,5,"no","female","20","caucasian",2,"US",2,2,2,2,0,1,0,0,3,"2",3,48,63,81,NA,NA,16,21,27,NA,NA,NA,NA,42,10
"Once, I was rude to one of my teachers because I thought that his expectations were unreasonable. I explained this to him, as well as the fact that I had been extremely stressed, but he did not listen to me. There was no outcome to the discussion.","","","","","","If my teacher apologized to me, I would have felt bad and stopped arguing.","If my teacher cut me some slack, I would be less stressed.","","","","First, I wake up and scroll on my phone for a few minutes. Then, I go take a shower. After my shower, I go to my classes and find time to eat lunch between or after my classes. After this, I either do some homework, hang out with friends, or go back to my room and take a nap. After this I eat dinner. After dinner, I go to the gym for a couple hours. After this, I shower again, and then do more homework. Then, I go to another dorm to hang out with friends until it is time to go to bed. Before I sleep, I lay in my bed scrolling on my phone for a bit.",9,4,8,4,NA,NA,NA,NA,NA,NA,2,4,2,3,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,"",3,4,3,"","m","18","asian",2,"US",1,2,2,3,0,1,0,0,2,"2",2,36,32,NA,NA,NA,18,16,NA,NA,NA,NA,NA,20,26
"My dad gave away my dog and we still have not found him","If I had been home and not at college this would not have happened","If he had been a little more loving he would not have done that","If he got the help he needed he would not have given my dog away","If my siblings had caught him in the act they would know where he sent Rocky","If my mom had been there he would not have given Rocky away","","","","","","I go to class, go to work, go back to class, do homework and research, go to a young life meeting, get dinner and hang out at home until bedtime",8,8,8,8,8,8,8,8,8,8,4,4,1,4,5,1,3,3,1,1,4,4,2,1,4,5,5,3,3,4,"I feel scared for what has happened to my dog",2,1,1,"","Female","20","Afrolatina",1,"United States",2,2,2,5,1,0,0,5,0,"1",5,64,64,64,64,64,12.8,12.8,12.8,12.8,12.8,320,64,30,32
"I recently lost a friend due to lack of contact between us. I noticed less effort coming from her end of the friendship, so I decided to see what would happen if I did the same, and we don't talk much anymore. The outcome was that we are not as close as we used to be.","If I had had an honest conversation with her about it, then we might still talk.","If I had been wiser about choosing friends in the first place, this might have never happened in the first place.","If I had continued to keep up contact, we might still be just as close.","","","","","","","","I wake up, and eat a protein bar for breakfast. Then, I brush my teeth, make my bed, and get dressed for the day. I leave for class, and then eat lunch after class with friends, typically. I have more classes after that. Once my classes are over, I come back to my room to relax a little before starting to do homework and studying. At around 6-7, I will eat dinner with some friends. I usually have more work to do after dinner. Once I am done with homework, I shower and get ready for bed. If I have extra time, I will watch some TV or a movie before going to bed.",9,9,6,6,9,9,NA,NA,NA,NA,3,2,3,1,2,1,2,1,3,3,2,2,1,2,2,3,3,1,2,2,"I feel pretty upset about it.",3,1,1,"No","Female","18","White",2,"United States",1,2,2,4,1,0,0,3,0,"1",3,81,36,81,NA,NA,27,12,27,NA,NA,NA,NA,26,15
"I yelled at one of my suitemates because he used my room to work on homework after I had told him he couldn't. In the moment I was pretty pissed because he asked if he could use my room, I said no, and then he blatantly ignored me and walked in and started to set up. After I yelled at him he left my room and I cooled off. We didn't really talk about it again and were just fine within a couple hours.","","","","","","","","","","","I wake up and play the daily chess puzzle on Chess.com. Then I use the restroom, brush my teeth, and shower. After that I go to class for around 2 and a half hours. I tend to swap between paying attention and being distracted throughout the time. After that, I'll go sit outside on the quad until I find people to get lunch with. After lunch I will either do some work or talk with friends outside on the quad. At around 2 or 3 in the afternoon I'll head back to my apartment and change to go for a run. Generally by the time I finish my run and shower, I'm about ready to go get dinner with one of my roommates. I'll drive to dinner and we will bring it back to watch tv for a while. After this, I'll either finish up my work or just hang out. This normally takes till 9 o clock. I'll start getting ready to go to bed and then am in bed by 10.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,2,1,"I think it resolved itself fine in the long run. I don't really harbor any kind of ill will or feeling towards my roommate.",2,2,2,"","Male","22","White",2,"United States",4,2,2,5,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12
"Once I was very mean to my teammates in a video game.","If I did not focus on performance then I would not have gotten mad.","If I did not have expectations of others then I would not have been mad at my teammate.","If I sleep early then I can go to class early.","If I eat breakfast then I won't be hungry for the rest of the day.","If I study everyday then I do not need to cram for a test.","","","","","","During a typical weekday I have a drink of water, brush my teeth, go to my classes, take a break, do my homework, play video games, go to the gym, and go to sleep. During my breaks I usually scroll on tiktok or watch a youtube video on my phone about a movie that I like.",4,4,8,5,4,5,8,4,4,5,2,4,2,2,5,1,1,2,1,5,4,4,2,4,2,5,4,4,4,2,"I feel not too bad about it because it is people on the internet and I rarely do it",5,4,3,"I am not sure why 5 minutes on a timer was necessary to talk about my day, otherwise I thought the study was fine","Male","19","Asian",2,"Philippines",2,2,2,4,1,0,0,5,0,"1",5,16,40,20,32,20,3.2,8,4,6.4,4,124,24.8,36,24
"Once I had an argument with my parents and told them how excited I was to leave for college because I wanted to be independent and not under their control. They were upset, my mother even cried. But, I apologized to them and told them I didn't mean it.","","","","","","If I had not apologized, then my parents would have remained upset and they would think that I hate being under their care.","","","","","I wake up around 10:00 am and immediately get out of bed. If I have work to do then I do work, but if I have nothing to do, I get ready for the day, getting dressed and brushing my teeth. I go to my first class, and then grab a bite to eat afterwards. Between classes, I also hang out with friends in our lounge. Once I am done with my classes, I usually chill with friends for a bit. If I have homework, then I will do that with frequent breaks on my phone. If I have no homework, then I will either hang with friends or I will chill in my room either playing videogames, going on my phone, or watching TV. Then, I'll grab dinner at Benson or the Pit, and Ill head back to my dorm afterwards. I will probably continue to get work done or play on my phone. Then, Ill shower and get ready for bed.... then go to bed",6,8,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,3,1,1,1,4,4,2,2,1,4,3,4,3,1,3,1,"I feel it was a good outcome. Im glad I made up with my parents",4,5,4,"nope","male","20","white",2,"US",2,2,3,4,0,1,0,0,1,"2",1,48,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,33,13
"I have a habit of making impulsive decisions which most recently has lead to me missing a lot of class. I usually end up feeling guilty about it afterword and I also feel bad apologizing to my professors, not to mention the academic consequences of missing class.","","","","","","","","","","","On a normal weekday, i'll wake up around 10:30 and get ready for class. I go to class, sit in Benson for about an hour depending on my schedule for the day, and then go to my next class, sometimes taking a nap depending on my time/energy levels. I'll finish my classes and usually spend the earlier half of the afternoon doing extracurricular things, working, or taking a nap. I will then sometimes eat food, or continue to the library and eat on my way back. Once I get back to my room it will be anywhere from 10 to 1, and I will take a shower and finish up any work I have left, and then go to bed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,2,4,3,3,1,1,3,3,4,1,2,1,2,3,2,3,"Pretty bummed but a little hopeful because the school year is ending soon",5,6,5,"","Male","20","White",2,"USA",2,2,2,3,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,30
"The last time I had a negative experience was when my dog, Gracie, died. I found out when I came back home for spring break. Turns out whe got bitten by soemthing (we think a snake) and fell into the pool. It was really emotional for me because we'd had her since I was in the fifth grade.","","","","","","","","","","","I wake up, go to my first class of the day, get something to eat, then I go to my afternoon classes. After afternoon classes I usually have some sort of club event or professional event I need to attend. I then get a snack it and then head to the gym. After the gym I get something to eat, then shower and start my homework. I then listen to some music or watch tv before going to bed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,1,4,1,1,1,2,3,2,2,1,2,2,4,3,4,3,1,"It is what it is.",1,4,1,"no","Male","19","Black",1,"United States",2,2,1,4,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,17
"Not friends anymore","If we were friendly, we would still be friends","","","","","","","","","","I wake up and brush my teeth. Sometimes I shower, depends on the day whether I shower morning or night. I then go and grab some coffee before class. Usually an iced vanilla latte from Camino. Then off to class. First up is sociology, then econ, then writing on Tuesday and Thursdays. For MWF, I have Gov and Psychology. Once class is over, I love to go walking, This is either at 2 or 4 depending on the day and if my friends are free I go with them or just chat on the phone with my friends or family. I'll also get a salad usually from Forest Greens if I am hungry. Once my walk is over, I meet my friends for dinner at the pit, then we head to the fire-pits to work some more and chat, plus watch the baseball game if it's on. Then I go back to my room when it's dark, and talk with my roommate who gets back at around the same time. We talk for awhile then head to bed around midnight.",7,8,8,8,NA,NA,NA,NA,NA,NA,3,2,3,3,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,"n/a",2,3,2,"n/a","Female","19","white",2,"US",1,2,2,4,1,0,0,1,0,"1",1,56,64,NA,NA,NA,56,64,NA,NA,NA,NA,NA,30,25
"","","","","","","","","","","","",7,8,3,8,3,8,7,8,3,3,2,3,3,4,4,3,3,3,3,3,2,4,3,3,4,3,4,4,3,4,"",3,4,5,"","Male","19","Black",2,"US",1,2,1,4,0,1,0,0,0,"2",0,56,24,24,56,9,Inf,Inf,Inf,Inf,Inf,154,30.8,32,33
"Flying on planes is typically a negative experience for me. Being a lot taller than most passengers, flying comes with several challenges that are rather inconvenient for me. The biggest problem comes with leg space. My knees are typically mashed into the seat in front of me leaving me with next to no mobility. This is only amplified when the person in from of me tries to put their seat back.","","","","","","If I would have gotten an upgraded seat, I would have had more leg space.","If I would have driven to my destination, I would not have to deal with the entire flying experience at all.","","","","I typically wake up around 9 am. I start my day with a shower and reviewing some work before leaving. I then try to get to the pit to get some breakfast. I then attend all of my classes. When I get out of classes for the day, I pick up some lunch at benson or go back to the pit. Next, I try to take care of my homework and deal with any meetings or appointments that I may have. When I finish my work, I try to get to the gym to get some exercise. This may consist of lifting or playing some basketball. I then shower again and get some dinner. After dinner, I finish any remaining work and do some studying. Once I am done with my academic responsibilities, I relax with friends, typically watching a show or movie, or playing video games. I finish my day by getting ready for bed and hitting the hay.",8,5,9,5,NA,NA,NA,NA,NA,NA,4,2,3,1,3,1,2,1,4,3,1,3,1,3,2,4,4,2,3,1,"It is something that I have become used to, and although it is not ideal, I am able to make it work.",2,1,1,"N/A","Male","20","White",2,"USA",2,2,2,4,0,1,0,0,2,"2",2,40,45,NA,NA,NA,20,22.5,NA,NA,NA,NA,NA,34,14
